value,clean,CODI_ATC_1,NOMBRE_1,CODI_ATC_0.9,NOMBRE_0.9,CODI_ATC_0.8,NOMBRE_0.8,CODI_ATC_0.7,NOMBRE_0.7
enalapril,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL
Co-vals,COVALS,,,C09DA,CO VALS,C09DA,CO VALS,C09DA,CO VALS
LECARDIT,LECARDIT,,,,,,,C08CA,LERCADIP
AMDILOPLINO ...,AMDILOPLINO,,,,,,,C08CA,AMLODIPINO
AMIODIPINO,AMIODIPINO,,,C08CA,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO
enalapril,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL
OTRO,OTRO,,,,,J01DD,OTREON,J01DD,OTREON
IXIA 10,IXIA,C09CA,IXIA,C09CA,IXIA,C09CA,IXIA,C09CA,IXIA
anapril-belmax,ANAPRILBELMAX,,,,,,,,
valsartan,VALSARTAN,C09CA,VALSARTAN,C09CA,VALSARTAN,C09CA,VALSARTAN,C09CA,VALSARTAN
no entenc la lletra,NO ENTENC LA LLETRA,,,,,,,,
RECOTINEL,RECOTINEL,,,,,,,G03AA,DRETINE
No recordo el nom,NO RECORDO EL NOM,,,,,,,,
enalapril,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL
Lifinopril,LIFINOPRIL,,,C09AA,LISINOPRIL,C09AA,LISINOPRIL,C09AA,LISINOPRIL
Co-Diov?n 160 Forte,CODIOV?N  FORTE,,,,,C09DA,CO DIOVAN FORTE,C09DA,CO DIOVAN FORTE
eneapril,ENEAPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
Lovibon,LOVIBON,,,,,,,C07AB,LOBIVON
losartan,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN
ibersatan,IBERSATAN,,,,,C09CA,IRBESARTAN,C09CA,IRBESARTAN
bisoprolol normon,BISOPROLOL NORMON,,,,,C07AB,BISOPROLOL COR,C07AB,BISOPROLOL COR
LISONOPRIL,LISONOPRIL,,,C09AA,LISINOPRIL,C09AA,LISINOPRIL,C09AA,LISINOPRIL
Anlodipino,ANLODIPINO,,,C08CA,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO
RAMIPRIL ACTAVIS,RAMIPRIL ACTAVIS,,,,,,,,
ANAPRIL 10 M.G.,ANAPRIL,,,,,C09AA,TANATRIL,C09AA,TANATRIL
Hidrosaluretil,HIDROSALURETIL,C03AA,HIDROSALURETIL,C03AA,HIDROSALURETIL,C03AA,HIDROSALURETIL,C03AA,HIDROSALURETIL
LOSARTAN,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN
losartan 25 mg,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN
OPENVAS 10 MG,OPENVAS,C09CA,OPENVAS,C09CA,OPENVAS,C09CA,OPENVAS,C09CA,OPENVAS
enapril 20,ENAPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
losartan,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN
TROMALYT,TROMALYT,B01AC,TROMALYT,B01AC,TROMALYT,B01AC,TROMALYT,B01AC,TROMALYT
linosipril,LINOSIPRIL,,,,,C09AA,LISINOPRIL,C09AA,LISINOPRIL
olmesartan,OLMESARTAN,,,,,,,C09CA,LOSARTAN
TARKA,TARKA,C09BB,TARKA,C09BB,TARKA,C09BB,TARKA,C09BB,TARKA
Enalapril,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL
candersartan 160mgr,CANDERSARTAN MGR,,,,,C09CA,CANDESARTAN,C09CA,CANDESARTAN
Campenol,CAMPENOL,,,,,C09DB,CAPENON,C09DB,CAPENON
linosipril,LINOSIPRIL,,,,,C09AA,LISINOPRIL,C09AA,LISINOPRIL
PROPANOLOL,PROPANOLOL,,,,,,,C02CA,PROGANDOL
IXIA,IXIA,C09CA,IXIA,C09CA,IXIA,C09CA,IXIA,C09CA,IXIA
enalapril 20g,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL
ENCONCOR,ENCONCOR,,,,,C07AB,EMCONCOR,C07AB,EMCONCOR
"Blopress Plus 16/12,5 mg",BLOPRESS PLUS,,,,,C09DA,KALPRESS PLUS,C09DA,KALPRESS PLUS
LOBIVON,LOBIVON,C07AB,LOBIVON,C07AB,LOBIVON,C07AB,LOBIVON,C07AB,LOBIVON
LOVIVON y SINVASTATINA,LOVIVON Y SINVASTATINA,,,,,,,,
"Enalapril, Bloquium Diu",ENALAPRIL BLOQUIUM DIU,,,,,,,,
LOVIBON,LOVIBON,,,,,,,C07AB,LOBIVON
bisoprolol,BISOPROLOL,,,,,C07AB,BISOPROLOL COR,C07AB,BISOPROLOL COR
linisopril,LINISOPRIL,,,,,C09AA,LISINOPRIL,C09AA,LISINOPRIL
openbas plus,OPENBAS PLUS,,,C09DA,OPENVAS PLUS,C09DA,OPENVAS PLUS,C09DA,OPENVAS PLUS
LIDALTRIN-DIU,LIDALTRINDIU,,,C09BA,LIDALTRIN DIU,C09BA,LIDALTRIN DIU,C09BA,LIDALTRIN DIU
Lovibon,LOVIBON,,,,,,,C07AB,LOBIVON
enalapril,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL
Korenitec,KORENITEC,,,,,C09AA,RENITEC,C09AA,RENITEC
"enconcor -cor 2,5 y esidrex",ENCONCOR COR  Y ESIDREX,,,,,,,,
enapril,ENAPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
Valtarzan?/Hidroclorotizida? 25mg,VALTARZANHIDROCLOROTIZIDA,,,,,C09DA,VALSARTAN/HIDROCLOROTIAZIDA,C09DA,VALSARTAN/HIDROCLOROTIAZIDA
Enelapril,ENELAPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
Enalapril 20 mg,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL,C09AA,ENALAPRIL
CODIOBAN,CODIOBAN,,,,,C09DA,CO DIOVAN,C09DA,CO DIOVAN
exirex,EXIREX,,,,,D05AA,EXOREX,D05AA,EXOREX
olmetec,OLMETEC,C09CA,OLMETEC,C09CA,OLMETEC,C09CA,OLMETEC,C09CA,OLMETEC
encoretic,ENCORETIC,,,,,C07CB,TENORETIC,C07CB,TENORETIC
MIOCARDIS,MIOCARDIS,,,C09CA,MICARDIS,C09CA,MICARDIS,C09CA,MICARDIS
ENCONCOR 5 MG,ENCONCOR,,,,,C07AB,EMCONCOR,C07AB,EMCONCOR
LERCANIDIPINO,LERCANIDIPINO,C08CA,LERCANIDIPINO,C08CA,LERCANIDIPINO,C08CA,LERCANIDIPINO,C08CA,LERCANIDIPINO
VEURE COMENTARIS,VEURE COMENTARIS,,,,,,,,
lisinopryl,LISINOPRYL,,,C09AA,LISINOPRIL,C09AA,LISINOPRIL,C09AA,LISINOPRIL
losartan,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN,C09CA,LOSARTAN
Almodipino 5,ALMODIPINO,,,C08CA,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO
BISOPROLOL NORMON,BISOPROLOL NORMON,,,,,C07AB,BISOPROLOL COR,C07AB,BISOPROLOL COR
Hidrotona,HIDROTONA,,,,,C03BA,HIGROTONA,C03BA,HIGROTONA
amdilipino,AMDILIPINO,,,,,C08CA,AMLODIPINO,C08CA,AMLODIPINO
amlodipino,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO
bisolprol,BISOLPROL,,,,,,,R01BA,DISOFROL
TENTERSIL,TENTERSIL,,,,,,,C08CA,KENESIL
astrudal,ASTRUDAL,,,C08CA,ASTUDAL,C08CA,ASTUDAL,C08CA,ASTUDAL
Hidrosuluretil,HIDROSULURETIL,,,C03AA,HIDROSALURETIL,C03AA,HIDROSALURETIL,C03AA,HIDROSALURETIL
forzar 100,FORZAR,,,,,C09DA,FORTZAAR,C09DA,FORTZAAR
anapril,ANAPRIL,,,,,C09AA,TANATRIL,C09AA,TANATRIL
HIDROSOLURETIL,HIDROSOLURETIL,,,C03AA,HIDROSALURETIL,C03AA,HIDROSALURETIL,C03AA,HIDROSALURETIL
eficip,EFICIP,,,,,,,A10BD,EFFICIB
Amlodipino,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO
HISODIUR HTA,HISODIUR HTA,,,C03CA,ISODIUR HTA,C03CA,ISODIUR HTA,C03CA,ISODIUR HTA
tecnigen 50,TECNIGEN,,,,,,,,
DIURETICO,DIURETICO,,,,,,,C03BX,DIURETTE
Torasimida,TORASIMIDA,,,C03CA,TORASEMIDA,C03CA,TORASEMIDA,C03CA,TORASEMIDA
DRINE 50MG,DRINE,,,,,J04AC,VADRINE,J04AC,VADRINE
novolol,NOVOLOL,,,,,,,S01ED,NYOLOL
No me acuerdo,NO ME ACUERDO,,,,,,,,
DIURETICO,DIURETICO,,,,,,,C03BX,DIURETTE
alodipino,ALODIPINO,,,C08CA,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO
diuretico,DIURETICO,,,,,,,C03BX,DIURETTE
enapril,ENAPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
impossible desxifrar caligrafia,IMPOSSIBLE DESXIFRAR CALIGRAFIA,,,,,,,,
Enapril,ENAPRIL,,,,,C09AA,ENALAPRIL,C09AA,ENALAPRIL
amlodipino,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO,C08CA,AMLODIPINO
HIDROCLOROTIAZIDA,HIDROCLOROTIAZIDA,C03AA,HIDROCLOROTIAZIDA,C03AA,HIDROCLOROTIAZIDA,C03AA,HIDROCLOROTIAZIDA,C03AA,HIDROCLOROTIAZIDA
SINVASTATINA 10 MG,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SEBASTATINA,SEBASTATINA,,,,,R06AX,EBASTINA,R06AX,EBASTINA
ocsorcol,OCSORCOL,,,,,,,C10AX,ABSORCOL
sivastatina,SIVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SIMBASTATINA 20MG,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
simbrastatina,SIMBRASTATINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
generico de astorvatina,GENERICO DE ASTORVATINA,,,,,,,,
simbastatina,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
ATORVASTATINA,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA
Simvastatina,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SILVATINA,SILVATINA,,,,,,,M01AE,SALVARINA
normolip,NORMOLIP,,,,,,,N05CM,NORMOVAL
levadura de arroz rojo,LEVADURA DE ARROZ ROJO,,,,,,,,
estatina,ESTATINA,,,,,L01BB,LEUSTATIN,L01BB,LEUSTATIN
ZOCOR 20MG.,ZOCOR,C10AA,ZOCOR,C10AA,ZOCOR,C10AA,ZOCOR,C10AA,ZOCOR
Rosuvastatina,ROSUVASTATINA,,,,,C10AA,LOVASTATINA,C10AA,LOVASTATINA
SIMBASTINA,SIMBASTINA,,,,,N03AD,SIMATIN,N03AD,SIMATIN
SINVASTATINA,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
silvastinina,SILVASTININA,,,,,,,C10AA,SIMVASTATINA
astorvastatina,ASTORVASTATINA,,,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA
ATORVASTATINA,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA
SINVASTITINA,SINVASTITINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
pravastina,PRAVASTINA,,,C10AA,PRAVASTATINA,C10AA,PRAVASTATINA,C10AA,PRAVASTATINA
SYVALSTATINA,SYVALSTATINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
cardil,CARDIL,,,,,C10AA,CARDYL,C10AA,CARDYL
SINVASTATINA,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
ATORVASTATINA,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA
sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Ezetrol y Pravastatina 10,EZETROL Y PRAVASTATINA,,,,,,,C10AA,PRAVASTATINA
colestia,COLESTIA,,,,,C10AC,COLESTID,C10AC,COLESTID
simvastatina,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
N iegy,N IEGY,,,,,,,C10BA,INEGY
sinvastina 10,SINVASTINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
atorvastatina,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA
Sinvastatina 10 mg,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SINVASTATINA,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
fluvastatina,FLUVASTATINA,C10AA,FLUVASTATINA,C10AA,FLUVASTATINA,C10AA,FLUVASTATINA,C10AA,FLUVASTATINA
rebakol,REBAKOL,,,,,,,J05AB,REBETOL
SINVASTATINA,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
?cids Omega 3,?CIDS OMEGA,,,,,,,,
SIMBASTATINA,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SIMBASTATINA,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SINVASTATINA,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
ARMOLIPID PLUS,ARMOLIPID PLUS,,,,,,,J01CA,AMPIPLUS
simvastatina 40 mg,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
simbastatina,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
ATOVASTATINA,ATOVASTATINA,,,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA
simbastatina,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
sinvastatina40mg,SINVASTATINAMG,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
NIVELCOL,NIVELCOL,,,,,,,M01AX,NIFLACTOL
silvastatina,SILVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
RED YEAST RICE,RED YEAST RICE,,,,,,,,
