"Text";"Freq";"Codi";"Descr_codi";"Codi_3";"Descr_codi_3";"Gran_grup_classif";"Descr_gran_grup_clasif";"Gran_grup_CCS";"Desc_gran_grup_CCS"
"PRESCRIPCIO MEDICA";2;"";"";"";"";"";"";"";""
"PRESIO OCULAR ALTA";2;"";"";"";"";"";"";"";""
"PROBLEMAS DIGESTIVOS";2;"";"";"";"";"";"";"";""
"PROBLEMAS EN LAS CERVICALES";2;"";"";"";"";"";"";"";""
"PROLACTINA";2;"";"";"";"";"";"";"";""
"PROSTATITIS CRONICA";2;"";"";"";"";"";"";"";""
"PROTECCION GASTRICA";2;"";"";"";"";"";"";"";""
"PROTECTOR D'ESTOMAG";2;"";"";"";"";"";"";"";""
"PSICOSIS";2;"";"";"";"";"";"";"";""
"QUERATITIS";2;"";"";"";"";"";"";"";""
"RADICULOPATIA";2;"";"";"";"";"";"";"";""
"REFORC";2;"";"";"";"";"";"";"";""
"REGLAS ABUNDANTES";2;"";"";"";"";"";"";"";""
"RELAJACION";2;"";"";"";"";"";"";"";""
"RELAJACION MUSCULAR";2;"";"";"";"";"";"";"";""
"RESPIRACION";2;"";"";"";"";"";"";"";""
"RISC DE DEPRESSIO";2;"";"";"";"";"";"";"";""
"SANG";2;"";"";"";"";"";"";"";""
"SEXUAL";2;"";"";"";"";"";"";"";""
"SINDROME DE FATIGA CRONICA";2;"";"";"";"";"";"";"";""
"SINDROME DE SJOGREN";2;"";"";"";"";"";"";"";""
"SINDROME SJOGREN";2;"";"";"";"";"";"";"";""
"SOBREPES";2;"";"";"";"";"";"";"";""
"SOFOCOS";2;"";"";"";"";"";"";"";""
"SUCRE EN SANG";2;"";"";"";"";"";"";"";""
"SUPLEMENTS VITAMINICS";2;"";"";"";"";"";"";"";""
"TABAQUISME";2;"";"";"";"";"";"";"";""
"TBC";2;"";"";"";"";"";"";"";""
"TDA";2;"";"";"";"";"";"";"";""
"PREVENCION";9;"";"";"";"";"";"";"";""
"TERAPIA HORMONAL SUSTITUTIVA";2;"";"";"";"";"";"";"";""
"TIFUS";2;"";"";"";"";"";"";"";""
"TINITUS";2;"";"";"";"";"";"";"";""
"TIROIDECTOMIA TOTAL";2;"";"";"";"";"";"";"";""
"TIROIDISME";2;"";"";"";"";"";"";"";""
"TIROIDITIS AUTOINMUNE";2;"";"";"";"";"";"";"";""
"TRANQUILITZANT";2;"";"";"";"";"";"";"";""
"TRANSTORNO DEL SUENO";2;"";"";"";"";"";"";"";""
"TRASTORN ADAPTATIU";2;"";"";"";"";"";"";"";""
"TRASTORNS ANSIETAT";2;"";"";"";"";"";"";"";""
"TREMOLOR A LES MANS";2;"";"";"";"";"";"";"";""
"TROMBOFLEBITIS";2;"";"";"";"";"";"";"";""
"TUBERCULOSIS PULMONAR";2;"";"";"";"";"";"";"";""
"ULCERA DE ESTOMAGO";2;"";"";"";"";"";"";"";""
"ULCUS DUODENAL";2;"";"";"";"";"";"";"";""
"URTICARIA VASCULAR";2;"";"";"";"";"";"";"";""
"VARICELA";2;"";"";"";"";"";"";"";""
"VARICOCELE";2;"";"";"";"";"";"";"";""
"VEJIGA HIPERACTIVA";2;"";"";"";"";"";"";"";""
"VERTIGENS";2;"";"";"";"";"";"";"";""
"VIH";2;"";"";"";"";"";"";"";""
"ACIDESA D'ESTOMAC";2;"";"";"";"";"";"";"";""
"ADELGAZAR";2;"";"";"";"";"";"";"";""
"ARTICULACIONS";2;"";"";"";"";"";"";"";""
"BULIMIA";2;"";"";"";"";"";"";"";""
"ELICOBACTER PYLORI";2;"";"";"";"";"";"";"";""
"DOLOR DE CADERA";1;"";"";"";"";"";"";"";""
"DOLOR DE CAIXAL";1;"";"";"";"";"";"";"";""
"DOLOR DE ESQUENA";1;"";"";"";"";"";"";"";""
"DOLOR DE HERNIA DISCAL";1;"";"";"";"";"";"";"";""
"DOLOR DE HUESOS Y CABEZA";1;"";"";"";"";"";"";"";""
"DOLOR DE OIDOS";1;"";"";"";"";"";"";"";""
"DOLOR DERIVAT DE L'HERIA DISCAL";1;"";"";"";"";"";"";"";""
"ARRITMIA EXTRASISTOLE";1;"";"";"";"";"";"";"";""
"ARRITMIA FA";1;"";"";"";"";"";"";"";""
"ARRITMIA PEROXISTICA AURICOLOVENTRICULAR";1;"";"";"";"";"";"";"";""
"DOLOR DORSAL";1;"";"";"";"";"";"";"";""
"DOLOR ELS OSSOS";1;"";"";"";"";"";"";"";""
"DOLOR EN EL HOMBRO";1;"";"";"";"";"";"";"";""
"DOLOR EN GENERAL";1;"";"";"";"";"";"";"";""
"REUMA ESPONDILITIS ANQUILOSANT.";1;"";"";"";"";"";"";"";""
"REUMA/GOTA";1;"";"";"";"";"";"";"";""
"ARTRITIS REUMATOIDE PALINDROMICA";1;"";"";"";"";"";"";"";""
"RELAJANTE";5;"";"";"";"";"";"";"";""
"ARTROSI A GENOLLS I CADERA, I LLEUGERA ESCOLIOSI";1;"";"";"";"";"";"";"";""
"ARTROSI DELS GENOLLS";1;"";"";"";"";"";"";"";""
"ARTROSI DE MALUC";1;"";"";"";"";"";"";"";""
"ARTROSI GENOLL, MALUC I CANELL";1;"";"";"";"";"";"";"";""
"ARTROSI LUMBAR";1;"";"";"";"";"";"";"";""
"CARCINOMA ESCAMOS";1;"";"";"";"";"";"";"";""
"CIATIACA Y LUMBALGIA";1;"";"";"";"";"";"";"";""
"CIRROSIS FETGE";1;"";"";"";"";"";"";"";""
"FALTA DE VITAMINAS";1;"";"";"";"";"";"";"";""
"COLON IRRITABLE/GASTRITIS CRONICA/ANGIODISPLASIA MULTIPLE COLON/HERNIA HIATO";1;"";"";"";"";"";"";"";""
"1";1;"";"";"";"";"";"";"";""
"1 PASTILLA";1;"";"";"";"";"";"";"";""
"2 HERNIAS DISCALS";1;"";"";"";"";"";"";"";""
"ABSORCIO LIPIDS";1;"";"";"";"";"";"";"";""
"ACALASIA";1;"";"";"";"";"";"";"";""
"ACCES RENAL";1;"";"";"";"";"";"";"";""
"ACELERACION CARDIACA";1;"";"";"";"";"";"";"";""
"ACELERAR DIGESTION";1;"";"";"";"";"";"";"";""
"ACIATICA";1;"";"";"";"";"";"";"";""
"ACIDESA ESTOMAC";1;"";"";"";"";"";"";"";""
"ACIDES D'ESTOMAC";1;"";"";"";"";"";"";"";""
"ACIDEZ/ARDORES";1;"";"";"";"";"";"";"";""
"ACIDEZ, BACTERIA PILORI";1;"";"";"";"";"";"";"";""
"ARTICULACIONES";4;"";"";"";"";"";"";"";""
"ACID FOLIC";1;"";"";"";"";"";"";"";""
"ULCERA";4;"";"";"";"";"";"";"";""
"ACIDOS GASTRICOS";1;"";"";"";"";"";"";"";""
"ACIDO UDICO";1;"";"";"";"";"";"";"";""
"ACID URIC EN SANG";1;"";"";"";"";"";"";"";""
"ACUFENOS";1;"";"";"";"";"";"";"";""
"ACUFENS";1;"";"";"";"";"";"";"";""
"AC.URIC";1;"";"";"";"";"";"";"";""
"ADENOMA DE PARATIOIDES ,";1;"";"";"";"";"";"";"";""
"ADENOMA HIPOFISIS";1;"";"";"";"";"";"";"";""
"ADENOMA PROSTATIC";1;"";"";"";"";"";"";"";""
"ADENOSIS";1;"";"";"";"";"";"";"";""
"AGRANDAMIENTO BENIGNO DE PROSTATA";1;"";"";"";"";"";"";"";""
"AIXAFAMENT VERTEBRA";1;"";"";"";"";"";"";"";""
"ALCOHOL";1;"";"";"";"";"";"";"";""
"ALEREGIA COLINERGICA";1;"";"";"";"";"";"";"";""
"AL·ERGIA";1;"";"";"";"";"";"";"";""
"ALERGIA AL POLEN";1;"";"";"";"";"";"";"";""
"BIPOLARIDAD LEVE";1;"";"";"";"";"";"";"";""
"BIPOLARITAT";1;"";"";"";"";"";"";"";""
"BIPORALIDAD";1;"";"";"";"";"";"";"";""
"BLEFAROESPASME ULL";1;"";"";"";"";"";"";"";""
"BLOQUEIG BRANCA ESQUERRA";1;"";"";"";"";"";"";"";""
"BLOQUEO DE RAMA IZQUIERDA";1;"";"";"";"";"";"";"";""
"BORNQUITIS";1;"";"";"";"";"";"";"";""
"BRCA2";1;"";"";"";"";"";"";"";""
"BROMQUITIS CRONICA POR FUMAR";1;"";"";"";"";"";"";"";""
"BRONQUIOS";1;"";"";"";"";"";"";"";""
"BRONQUITIS LLEU";1;"";"";"";"";"";"";"";""
"BUFETA";1;"";"";"";"";"";"";"";""
"BUFETA HIPERACTIVA";1;"";"";"";"";"";"";"";""
"BUFETA ORINARIA";1;"";"";"";"";"";"";"";""
"BUFETA URINARIA HIPERACTIVA";1;"";"";"";"";"";"";"";""
"BULIMIA NERVIOSA";1;"";"";"";"";"";"";"";""
"AMBLIOPIA ULL ESQUERRE";1;"";"";"";"";"";"";"";""
"HERNIA";3;"";"";"";"";"";"";"";""
"ANTIINFLAMATORIO";3;"";"";"";"";"";"";"";""
"DEPRESSIO REACTIVA";3;"";"";"";"";"";"";"";""
"ANALGESICO / ANTIINFLAMATORIO";1;"";"";"";"";"";"";"";""
"ANCIOLITICO";1;"";"";"";"";"";"";"";""
"HERPES ZOSTER";3;"";"";"";"";"";"";"";""
"HIERRO";3;"";"";"";"";"";"";"";""
"HIPERCOLESTEROLEMIA FAMILIAR";3;"";"";"";"";"";"";"";""
"HIPERURICEMIA";3;"";"";"";"";"";"";"";""
"HIPOTIROIDES";3;"";"";"";"";"";"";"";""
"HORMONAL";3;"";"";"";"";"";"";"";""
"IMSOMNIO";3;"";"";"";"";"";"";"";""
"IMSONIO";3;"";"";"";"";"";"";"";""
"INFECCIO D'ORINA";3;"";"";"";"";"";"";"";""
"INFECCION ORINA";3;"";"";"";"";"";"";"";""
"INFLAMACIO";3;"";"";"";"";"";"";"";""
"INTERVENCION QUIRURGICA REDUCCION DE ESTOMAGO";3;"";"";"";"";"";"";"";""
"LARINGE IRRITABLE";3;"";"";"";"";"";"";"";""
"MAL ESQUENA";3;"";"";"";"";"";"";"";""
"MALS DE CAP";3;"";"";"";"";"";"";"";""
"MANCA VITAMINA D";3;"";"";"";"";"";"";"";""
"MONONUCLEOSI";3;"";"";"";"";"";"";"";""
"MUSCULAR";3;"";"";"";"";"";"";"";""
"NERVIO CIATICO";3;"";"";"";"";"";"";"";""
"NEURALGIA";3;"";"";"";"";"";"";"";""
"NODULOS TIROIDES";3;"";"";"";"";"";"";"";""
"NO MOTILITAT INTESTINAL";3;"";"";"";"";"";"";"";""
"ORINA";3;"";"";"";"";"";"";"";""
"PARA LA ANSIEDAD";3;"";"";"";"";"";"";"";""
"PARA LOS HUESOS";3;"";"";"";"";"";"";"";""
"PARQUISON";3;"";"";"";"";"";"";"";""
"PEDRES VESICULA";3;"";"";"";"";"";"";"";""
"PER A DORMIR";3;"";"";"";"";"";"";"";""
"POLIOMIELITIS";3;"";"";"";"";"";"";"";""
"PRESIO";3;"";"";"";"";"";"";"";""
"PRESION ARTERIAL";3;"";"";"";"";"";"";"";""
"PROBLEMES CERVICALS";3;"";"";"";"";"";"";"";""
"PROTECTOR ESTOMAG";3;"";"";"";"";"";"";"";""
"PROTEINURIA";3;"";"";"";"";"";"";"";""
"REDUCCIO D'ESTOMAC";3;"";"";"";"";"";"";"";""
"RELAXANT MUSCULAR";3;"";"";"";"";"";"";"";""
"RETENCIO DE LIQUIDS";3;"";"";"";"";"";"";"";""
"RETENCION LIQUIDOS";3;"";"";"";"";"";"";"";""
"REUMATISME PALINDROMIC";3;"";"";"";"";"";"";"";""
"SEQUEDAT OCULAR";3;"";"";"";"";"";"";"";""
"SINDROME DE MENIERE";3;"";"";"";"";"";"";"";""
"TDH";3;"";"";"";"";"";"";"";""
"TENSIO ALTA";3;"";"";"";"";"";"";"";""
"TIROIDE";3;"";"";"";"";"";"";"";""
"TLP";3;"";"";"";"";"";"";"";""
"TRANQUILIZANTE";3;"";"";"";"";"";"";"";""
"TRASTORN ANSIETAT";3;"";"";"";"";"";"";"";""
"VITAMINES";3;"";"";"";"";"";"";"";""
"DIVERTICULITIS AGUDA";1;"";"";"";"";"";"";"";""
"ANTICONCEPTIVO ORAL";1;"";"";"";"";"";"";"";""
"ANTI DEPRESIVOS";1;"";"";"";"";"";"";"";""
"ANTIDREPRESIU";1;"";"";"";"";"";"";"";""
"ANTIDSEPRESSIU";1;"";"";"";"";"";"";"";""
"ANTI-EPSTEIN BARR VCA(IGG)";1;"";"";"";"";"";"";"";""
"ANTIESTAMINICO";1;"";"";"";"";"";"";"";""
"ANTIFLAMATORI";1;"";"";"";"";"";"";"";""
"ANTIFLAMATORIO";1;"";"";"";"";"";"";"";""
"ANTIFLAMATORIS";1;"";"";"";"";"";"";"";""
"ANTI-INFLAMATORI";1;"";"";"";"";"";"";"";""
"ANTI INFLAMATORIO";1;"";"";"";"";"";"";"";""
"ANTIINFLAMTORI";1;"";"";"";"";"";"";"";""
"ANTIMFLAMATORIO";1;"";"";"";"";"";"";"";""
"ANTINCONCEPTIU";1;"";"";"";"";"";"";"";""
"ANTINFLAMATORIA";1;"";"";"";"";"";"";"";""
"AGORAFOBIA";2;"";"";"";"";"";"";"";""
"ALCOHOLISMO";2;"";"";"";"";"";"";"";""
"ALERGIES";2;"";"";"";"";"";"";"";""
"AL.LERGIA";2;"";"";"";"";"";"";"";""
"ALOPECIA AREATA";2;"";"";"";"";"";"";"";""
"AMIGDALITIS";2;"";"";"";"";"";"";"";""
"ANEMIA FERRO";2;"";"";"";"";"";"";"";""
"ANGINA DE PIT";2;"";"";"";"";"";"";"";""
"ANGINES";2;"";"";"";"";"";"";"";""
"ANIMO";2;"";"";"";"";"";"";"";""
"ANSIEDAD, ESTRES, FALTA DE SUENO";2;"";"";"";"";"";"";"";""
"ANSIEDAD GENERALIZADA";2;"";"";"";"";"";"";"";""
"ANSIEDAD LESION MEDULAR";2;"";"";"";"";"";"";"";""
"ANSIEDAD Y DEPRESION";2;"";"";"";"";"";"";"";""
"ANSIETAT/DEPRESSIO";2;"";"";"";"";"";"";"";""
"ANSIETAT PUNTUAL";2;"";"";"";"";"";"";"";""
"ANTIACIDO";2;"";"";"";"";"";"";"";""
"ANTIBABY";2;"";"";"";"";"";"";"";""
"ANTICONCEPCION";2;"";"";"";"";"";"";"";""
"ANTICONCEPTIVAS";2;"";"";"";"";"";"";"";""
"ANTIDEPRESIVOS";2;"";"";"";"";"";"";"";""
"ANTIINFLAMATORI";2;"";"";"";"";"";"";"";""
"ANTIINFLAMATORIOS";2;"";"";"";"";"";"";"";""
"ANTIINFLAMATORIS";2;"";"";"";"";"";"";"";""
"ARITMIA";2;"";"";"";"";"";"";"";""
"ARTROSI GENOLL";2;"";"";"";"";"";"";"";""
"ARTROSIS CERVICAL";2;"";"";"";"";"";"";"";""
"ARTROSIS DE CADERA";2;"";"";"";"";"";"";"";""
"ATM";2;"";"";"";"";"";"";"";""
"BAIXA DE FERRO";2;"";"";"";"";"";"";"";""
"BRONQUITIS ASMATICA";2;"";"";"";"";"";"";"";""
"BRUCELOSIS";2;"";"";"";"";"";"";"";""
"CAIDA CABELLO";2;"";"";"";"";"";"";"";""
"CAIGUDA DE CABELL";2;"";"";"";"";"";"";"";""
"CARENCIA VITAMINA D";2;"";"";"";"";"";"";"";""
"CEFALALGIA OCASIONAL";2;"";"";"";"";"";"";"";""
"CIRCULACION SANGUINEA";2;"";"";"";"";"";"";"";""
"CIRCULACIO VASCULAR";2;"";"";"";"";"";"";"";""
"CIRURGIA BARIATRICA";2;"";"";"";"";"";"";"";""
"COL·LOCACIO STENT";2;"";"";"";"";"";"";"";""
"COLOM";2;"";"";"";"";"";"";"";""
"COMPLEMENT ALIMENTICI";2;"";"";"";"";"";"";"";""
"CONDROMALACIA ROTULIANA";2;"";"";"";"";"";"";"";""
"CONTROLARLA";2;"";"";"";"";"";"";"";""
"CONTROL GLOUCOMA";2;"";"";"";"";"";"";"";""
"COSTIPAT";2;"";"";"";"";"";"";"";""
"CRISI ANSIETAT";2;"";"";"";"";"";"";"";""
"CRISI D'ANGOIXA";2;"";"";"";"";"";"";"";""
"DEFICIT D'ABSORCIO";2;"";"";"";"";"";"";"";""
"DEFICIT VITAMINES";2;"";"";"";"";"";"";"";""
"DEIXAR DE FUMAR";2;"";"";"";"";"";"";"";""
"DEJAR DE FUMAR";2;"";"";"";"";"";"";"";""
"DEPRESIO/ANSIETAT.";2;"";"";"";"";"";"";"";""
"DEPRESION MENOR";2;"";"";"";"";"";"";"";""
"DEPRESIO REACTIVA";2;"";"";"";"";"";"";"";""
"DEPRESSIO-ANSIETAT";2;"";"";"";"";"";"";"";""
"DEPRESSIO MENOR";2;"";"";"";"";"";"";"";""
"DEPRESSION";2;"";"";"";"";"";"";"";""
"DEPRESSIO REACTIVA MALALTIA FAMILIAR";2;"";"";"";"";"";"";"";""
"DIABETIS";2;"";"";"";"";"";"";"";""
"DIETA";2;"";"";"";"";"";"";"";""
"DIFICULTAT PER DORMIR";2;"";"";"";"";"";"";"";""
"DIGESTIVO";2;"";"";"";"";"";"";"";""
"DISFAGIA";2;"";"";"";"";"";"";"";""
"DISFUNCION ERECTIL";2;"";"";"";"";"";"";"";""
"DISTROFIA DISTAL REFLEJA";2;"";"";"";"";"";"";"";""
"DIVERCULITIS";2;"";"";"";"";"";"";"";""
"DIVERTICULITIS";2;"";"";"";"";"";"";"";""
"DOLOR ARTICULACIONS";2;"";"";"";"";"";"";"";""
"DOLOR BRAZO";2;"";"";"";"";"";"";"";""
"DOLOR CERVICALS - TINC HERNIA";2;"";"";"";"";"";"";"";""
"DOLOR DE CABEZA Y MALESTAR";2;"";"";"";"";"";"";"";""
"DOLOR D'ESQUENA";2;"";"";"";"";"";"";"";""
"DOLOR MUSCULATURA";2;"";"";"";"";"";"";"";""
"DOLOR NEUROPATIC";2;"";"";"";"";"";"";"";""
"DOLOR OSSOS";2;"";"";"";"";"";"";"";""
"DOLORS D'ESQUENA";2;"";"";"";"";"";"";"";""
"DOLORS MUSCULARS";2;"";"";"";"";"";"";"";""
"DOLORS VARIS";2;"";"";"";"";"";"";"";""
"EMBOLIA ARTERIAL CAMA DRETA";2;"";"";"";"";"";"";"";""
"ENDOMETROSIS";2;"";"";"";"";"";"";"";""
"ERNIA DE HIATO";2;"";"";"";"";"";"";"";""
"ESCLEROSIS MULTIPLE";2;"";"";"";"";"";"";"";""
"ESOFAGO DE BARRET";2;"";"";"";"";"";"";"";""
"ESTADO DEPRESIVO";2;"";"";"";"";"";"";"";""
"ESTAT ANIMIC";2;"";"";"";"";"";"";"";""
"ESTOMEG";2;"";"";"";"";"";"";"";""
"ESTRES/ANSIETAT";2;"";"";"";"";"";"";"";""
"FALTA DE AIRE / ASFIXIA";2;"";"";"";"";"";"";"";""
"FASCITIS PLANTAR";2;"";"";"";"";"";"";"";""
"FERRO BAIX";2;"";"";"";"";"";"";"";""
"FERROPENIA";2;"";"";"";"";"";"";"";""
"FIBROMALGIA";2;"";"";"";"";"";"";"";""
"FIBROMIALGIA - FATIGA";2;"";"";"";"";"";"";"";""
"FIBROMIALGIA Y FATIGA CRONICA";2;"";"";"";"";"";"";"";""
"FOBIA SOCIAL";2;"";"";"";"";"";"";"";""
"FONGS PEUS";2;"";"";"";"";"";"";"";""
"FRIBROMIALGIA";2;"";"";"";"";"";"";"";""
"GASES";2;"";"";"";"";"";"";"";""
"GENERACIO DE CARTILAC";2;"";"";"";"";"";"";"";""
"HERNIA DE IATUS";2;"";"";"";"";"";"";"";""
"HERNIA HIATAL";2;"";"";"";"";"";"";"";""
"HERNIA IATO";2;"";"";"";"";"";"";"";""
"DEIXA DE FUMAR";1;"";"";"";"";"";"";"";""
"DEPESSIO";1;"";"";"";"";"";"";"";""
"DEPRE";1;"";"";"";"";"";"";"";""
"DEPRECION";1;"";"";"";"";"";"";"";""
"DEPRESIO-ANSIETAT";1;"";"";"";"";"";"";"";""
"DEPRESIO LLEUGERA";1;"";"";"";"";"";"";"";""
"DEPRESION / ANSIEDAD";1;"";"";"";"";"";"";"";""
"DEPRESION, INSOMNIO";1;"";"";"";"";"";"";"";""
"MUCOSES VIES ALTES \\\\""ATOPIQUES\\";2;"";"";"";"";"";"";"";""
"DEPRESION NERVIOSA";1;"";"";"";"";"";"";"";""
"DEPRESION POR ANSIEDAD";1;"";"";"";"";"";"";"";""
"AL·LERGIA ESTACIONAL";1;"";"";"";"";"";"";"";""
"DEPRESSIO I BULIMIA";1;"";"";"";"";"";"";"";""
"DEPRESSIO (LLEU)";1;"";"";"";"";"";"";"";""
"AL NO PODER MENJAR DE TOT, NECESSITO SUPLEMENTS DE MULTIVITAMINICS";1;"";"";"";"";"";"";"";""
"DEPRESSIO (MENOR)";1;"";"";"";"";"";"";"";""
"DEPRESSO";1;"";"";"";"";"";"";"";""
"DEPRSION";1;"";"";"";"";"";"";"";""
"DE QUAN EN QUAN HE PATIT ALGUN TRNATORN DEPRESIU NO GREU, O ANSIETAT";1;"";"";"";"";"";"";"";""
"GRIP, REFREDAT";1;"";"";"";"";"";"";"";""
"DERMATITIS ASOCIADA AL HERPES SIMPLE";1;"";"";"";"";"";"";"";""
"DERMATITIS NEUROLOGICA";1;"";"";"";"";"";"";"";""
"HELICOBACTER PILORIS";1;"";"";"";"";"";"";"";""
"DERMATOLOGICA";1;"";"";"";"";"";"";"";""
"DERMOGRAFISME";1;"";"";"";"";"";"";"";""
"LUMBALGIA CRONICA";2;"";"";"";"";"";"";"";""
"DESAJUSTE HORMONAL";1;"";"";"";"";"";"";"";""
"DESANIM";1;"";"";"";"";"";"";"";""
"DESANIMO";1;"";"";"";"";"";"";"";""
"DESCALCIFICACIO";1;"";"";"";"";"";"";"";""
"DESCANCAR I DEPRESIO";1;"";"";"";"";"";"";"";""
"DESCANSAR";1;"";"";"";"";"";"";"";""
"DESCRIT AMB LA PREGUNTA ANTERIOR";1;"";"";"";"";"";"";"";""
"METRORRAGIA";2;"";"";"";"";"";"";"";""
"DESGASTE CADERA";1;"";"";"";"";"";"";"";""
"DESGASTE CARTILAGO RODILLAS";1;"";"";"";"";"";"";"";""
"DESGASTE DE BERTEBRAS COLUMNA LUMBAR";1;"";"";"";"";"";"";"";""
"DESGASTE MENISCO";1;"";"";"";"";"";"";"";""
"ANIMIC/NERVIOS";1;"";"";"";"";"";"";"";""
"DESGAST MUSCUL MA";1;"";"";"";"";"";"";"";""
"DESGAT DELS DISCOS DE LA COLUMNA VERTEBRAL";1;"";"";"";"";"";"";"";""
"ANOSMIA / TINITUS";1;"";"";"";"";"";"";"";""
"DESPRENIMENT DE CORNEA";1;"";"";"";"";"";"";"";""
"DESPRES DE FER MOLT EXERCICI";1;"";"";"";"";"";"";"";""
"DESPRES D´UNA OPERACIO DE FA MES DE 8 ANYS";1;"";"";"";"";"";"";"";""
"DESVIACIO ESQUENA";1;"";"";"";"";"";"";"";""
"DEVIRTICULITIS";1;"";"";"";"";"";"";"";""
"DIABETIS DURANT L'EMBARAC";1;"";"";"";"";"";"";"";""
"HERNIA D'IATO";1;"";"";"";"";"";"";"";""
"HERNIA D'IATUS";1;"";"";"";"";"";"";"";""
"DICOCOLON";1;"";"";"";"";"";"";"";""
"DIES ALTERNATIUS";1;"";"";"";"";"";"";"";""
"DIFICULTAD CONCILIAR SUENO";1;"";"";"";"";"";"";"";""
"DIFICULTAD DORMIR";1;"";"";"";"";"";"";"";""
"DIFICULTAT DORMIR-ANSIETAT";1;"";"";"";"";"";"";"";""
"DIFICULTAT PER A DORMIR I NERVIS";1;"";"";"";"";"";"";"";""
"DIFICULTAT PER ADORMIR-ME";1;"";"";"";"";"";"";"";""
"DIFICULTAT RESPIRATORIA NIT";1;"";"";"";"";"";"";"";""
"DIFICULTAT URINARIA";1;"";"";"";"";"";"";"";""
"DIGESTION LENTA";1;"";"";"";"";"";"";"";""
"DIGESTIONS PESADES";1;"";"";"";"";"";"";"";""
"ANSIETAT DEPRESSIVA";1;"";"";"";"";"";"";"";""
"ANSIETAT GENERALITZADA";1;"";"";"";"";"";"";"";""
"DILATACION URETRAL";1;"";"";"";"";"";"";"";""
"DILUIR LS SANGREPLAVP";1;"";"";"";"";"";"";"";""
"DIPOSIT DEL FERRO UNA MICA BUIT";1;"";"";"";"";"";"";"";""
"DISCOPATIA DEGENERATIVA";1;"";"";"";"";"";"";"";""
